pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
2.45E+06,3.00E+02,1,-1.25E-01,7.93,6.10E-02,6.42E-03,-1.15E-02,7.74E-04
2.45E+06,3.00E+02,1.00E+00,1.37E-01,6.43,-3.34E-01,6.43E-03,-1.15E-02,8.03E-04
2.45E+06,3.00E+02,1.00E+00,4.50E-01,5.74,-5.07E-02,6.41E-03,-1.15E-02,8.09E-04
2.45E+06,3.00E+02,1.00E+00,-1.07E-01,7.52,-3.13E-01,6.44E-03,-1.15E-02,7.85E-04
2.45E+06,3.00E+02,1.00E+00,-1.26E-01,7.13,-6.42E-01,6.45E-03,-1.15E-02,7.96E-04
2.45E+06,3.00E+02,1.00E+00,1.57E-01,6.83,-5.08E-03,6.42E-03,-1.15E-02,7.92E-04
2.45E+06,3.00E+02,1.00E+00,3.37E-02,5.96,-5.19E-01,6.45E-03,-1.15E-02,8.35E-04
2.45E+06,3.00E+02,1.00E+00,-6.36E-02,6.51,-6.17E-01,6.45E-03,-1.15E-02,8.15E-04
2.45E+06,3.00E+02,1.00E+00,2.49E-01,5.82,-3.34E-01,6.43E-03,-1.15E-02,8.22E-04
2.45E+06,3.00E+02,1.00E+00,-1.98E-01,14.4,-2.28E-01,6.43E-03,-1.15E-02,5.76E-04
2.45E+06,3.00E+02,1.00E+00,-2.20E-01,14.4,-2.93E-01,6.44E-03,-1.15E-02,5.93E-04
2.45E+06,3.00E+02,1.00E+00,-2.46E-01,14.4,-3.53E-01,6.45E-03,-1.15E-02,6.10E-04
2.45E+06,3.00E+02,1.00E+00,-2.41E-01,14.4,-2.37E-01,6.43E-03,-1.15E-02,5.94E-04
2.45E+06,3.00E+02,1.00E+00,-2.89E-01,14.4,-2.51E-01,6.42E-03,-1.15E-02,6.12E-04
2.45E+06,3.00E+02,1.00E+00,-2.63E-01,14.4,-3.02E-01,6.44E-03,-1.15E-02,6.11E-04
2.45E+06,3.00E+02,1.00E+00,-1.80E-01,14.4,-2.57E-01,6.45E-03,-1.15E-02,5.75E-04
2.45E+06,3.00E+02,1.00E+00,-2.06E-01,14.4,-3.17E-01,6.46E-03,-1.15E-02,5.92E-04
2.45E+06,3.00E+02,1.00E+00,-1.67E-01,14.4,-2.86E-01,6.47E-03,-1.15E-02,5.74E-04
2.45E+06,3.00E+02,1.00E+00,-9.17E-02,14.4,-3.20E-01,6.52E-03,-1.15E-02,5.98E-04
2.45E+06,3.00E+02,1.00E+00,-1.52E-01,14.4,-3.71E-01,6.50E-03,-1.15E-02,6.02E-04
2.45E+06,3.00E+02,1.00E+00,-1.74E-01,14.4,-3.83E-01,6.49E-03,-1.15E-02,6.06E-04
2.45E+06,3.00E+02,1.00E+00,-1.67E-01,14.3,-4.32E-01,6.51E-03,-1.15E-02,6.33E-04
2.45E+06,3.00E+02,1.00E+00,-1.75E-01,14.3,-4.08E-01,6.50E-03,-1.15E-02,6.19E-04
2.45E+06,3.00E+02,1.00E+00,-1.44E-01,14.3,-3.95E-01,6.52E-03,-1.15E-02,6.15E-04
2.45E+06,3.00E+02,1.00E+00,-1.10E-01,14.4,-2.72E-01,6.50E-03,-1.15E-02,5.74E-04
2.45E+06,3.00E+02,1.00E+00,-1.58E-01,14.4,-3.46E-01,6.49E-03,-1.15E-02,5.90E-04
2.45E+06,3.00E+02,1.00E+00,-1.35E-01,14.4,-3.35E-01,6.51E-03,-1.15E-02,5.86E-04
2.45E+06,3.00E+02,1.00E+00,-1.54E-01,14.4,-3.00E-01,6.48E-03,-1.15E-02,5.74E-04
2.45E+06,3.00E+02,1.00E+00,-1.74E-01,14.4,-3.33E-01,6.48E-03,-1.15E-02,5.90E-04
2.45E+06,3.00E+02,1.00E+00,3.11E-02,13.3,-4.71E-01,6.64E-03,-1.15E-02,6.77E-04
2.45E+06,3.00E+02,1.00E+00,-4.08E-02,13.8,-5.24E-01,6.61E-03,-1.15E-02,6.55E-04
2.45E+06,3.00E+02,1.00E+00,-1.60E-02,13.5,-5.02E-01,6.62E-03,-1.15E-02,6.66E-04
2.45E+06,3.00E+02,1.00E+00,-1.03E-02,13.9,-4.60E-01,6.62E-03,-1.15E-02,6.48E-04
2.45E+06,3.00E+02,1.00E+00,-2.46E-02,14.2,-3.96E-01,6.64E-03,-1.15E-02,6.41E-04
2.45E+06,3.00E+02,1.00E+00,3.68E-02,13.7,-4.29E-01,6.64E-03,-1.15E-02,6.59E-04
2.45E+06,3.00E+02,1.00E+00,-1.25E-01,12.2,-6.25E-01,6.61E-03,-1.15E-02,6.93E-04
2.45E+06,3.00E+02,1.00E+00,-7.35E-02,13,-5.68E-01,6.61E-03,-1.15E-02,6.74E-04
2.45E+06,3.00E+02,1.00E+00,-4.87E-02,12.8,-5.46E-01,6.63E-03,-1.15E-02,6.85E-04
2.45E+06,3.00E+02,1.00E+00,-1.69E-01,13.6,-5.22E-01,6.58E-03,-1.15E-02,6.73E-04
2.45E+06,3.00E+02,1.00E+00,-1.06E-01,13.7,-5.25E-01,6.59E-03,-1.15E-02,6.64E-04
2.45E+06,3.00E+02,1.00E+00,-1.58E-01,12.9,-5.81E-01,6.59E-03,-1.15E-02,6.83E-04
2.45E+06,3.00E+02,1.00E+00,-4.76E-01,11.7,-4.40E-01,6.43E-03,-1.15E-02,7.12E-04
2.45E+06,3.00E+02,1.00E+00,-4.28E-01,12.2,-2.64E-01,6.41E-03,-1.15E-02,7.17E-04
2.45E+06,3.00E+02,1.00E+00,-5.08E-01,11.3,-6.00E-01,6.44E-03,-1.15E-02,7.07E-04
2.45E+06,3.00E+02,1.00E+00,-4.93E-01,12.8,-3.06E-01,6.41E-03,-1.15E-02,6.99E-04
2.45E+06,3.00E+02,1.00E+00,-5.39E-01,13.5,-3.40E-01,6.42E-03,-1.15E-02,6.81E-04
2.45E+06,3.00E+02,1.00E+00,-5.25E-01,12.4,-4.66E-01,6.43E-03,-1.15E-02,6.94E-04
2.45E+06,3.00E+02,1.00E+00,-3.65E-01,10.6,-4.08E-01,6.43E-03,-1.15E-02,7.41E-04
2.45E+06,3.00E+02,1.00E+00,-3.94E-01,11.4,-3.23E-01,6.42E-03,-1.15E-02,7.29E-04
