pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
2.41E+06,3.00E+02,1.00E+00,6.85E-02,8.95,1.71E-01,6.42E-03,-1.15E-02,7.74E-04
2.41E+06,3.00E+02,1.00E+00,2.36E-01,7.32,-7.94E-02,6.43E-03,-1.15E-02,8.03E-04
2.41E+06,3.00E+02,1.00E+00,5.20E-01,6.59,5.12E-02,6.41E-03,-1.15E-02,8.09E-04
2.41E+06,3.00E+02,1.00E+00,2.43E-02,8.54,-6.39E-02,6.44E-03,-1.15E-02,7.85E-04
2.41E+06,3.00E+02,1.00E+00,-3.34E-02,8.09,-2.54E-01,6.45E-03,-1.15E-02,7.96E-04
2.41E+06,3.00E+02,1.00E+00,2.94E-01,7.78,1.11E-01,6.42E-03,-1.15E-02,7.92E-04
2.41E+06,3.00E+02,1.00E+00,3.71E-01,6.96,-8.03E-02,6.45E-03,-1.15E-02,8.35E-04
2.41E+06,3.00E+02,1.00E+00,1.36E-01,7.51,-1.60E-01,6.45E-03,-1.15E-02,8.15E-04
2.41E+06,3.00E+02,1.00E+00,4.20E-01,6.77,-2.90E-02,6.43E-03,-1.15E-02,8.22E-04
2.41E+06,3.00E+02,1.00E+00,-2.60E-01,14.8,-1.44E-01,6.43E-03,-1.15E-02,5.76E-04
2.41E+06,3.00E+02,1.00E+00,-2.76E-01,14.8,-1.67E-01,6.44E-03,-1.15E-02,5.93E-04
2.41E+06,3.00E+02,1.00E+00,-2.89E-01,14.8,-1.83E-01,6.45E-03,-1.15E-02,6.10E-04
2.41E+06,3.00E+02,1.00E+00,-2.68E-01,14.8,-1.39E-01,6.43E-03,-1.15E-02,5.94E-04
2.41E+06,3.00E+02,1.00E+00,-2.81E-01,14.9,-1.34E-01,6.42E-03,-1.15E-02,6.12E-04
2.41E+06,3.00E+02,1.00E+00,-2.84E-01,14.8,-1.62E-01,6.44E-03,-1.15E-02,6.11E-04
2.41E+06,3.00E+02,1.00E+00,-2.56E-01,14.8,-1.62E-01,6.45E-03,-1.15E-02,5.75E-04
2.41E+06,3.00E+02,1.00E+00,-2.69E-01,14.8,-1.77E-01,6.46E-03,-1.15E-02,5.92E-04
2.41E+06,3.00E+02,1.00E+00,-2.54E-01,14.8,-1.77E-01,6.47E-03,-1.15E-02,5.74E-04
2.41E+06,3.00E+02,1.00E+00,-2.30E-01,14.8,-2.14E-01,6.52E-03,-1.15E-02,5.98E-04
2.41E+06,3.00E+02,1.00E+00,-2.72E-01,14.8,-2.22E-01,6.50E-03,-1.15E-02,6.02E-04
2.41E+06,3.00E+02,1.00E+00,-2.77E-01,14.8,-2.18E-01,6.49E-03,-1.15E-02,6.06E-04
2.41E+06,3.00E+02,1.00E+00,-2.99E-01,14.8,-2.49E-01,6.51E-03,-1.15E-02,6.33E-04
2.41E+06,3.00E+02,1.00E+00,-2.88E-01,14.8,-2.30E-01,6.50E-03,-1.15E-02,6.19E-04
