pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
1353049.677,299.6020046,0.955370042,7.914448974,73.35935992,2.485450169,0.00727124936,0,-8.04E-05
1362442.72,299.5582309,0.953612451,10.88376983,75.84977525,2.204299976,0.00726959131,0,-5.08E-05
1355995.367,299.5869413,0.945797512,9.854256282,75.52060704,3.303659469,0.00724347876,0,-6.52E-05
1369881.804,299.466265,0.936600987,13.39970134,80.2399531,3.849934749,0.00726680937,0,-3.10E-05
1376004.125,299.4492085,0.914523402,13.79113336,83.51654525,5.813540852,0.00724740179,0,-8.33E-06
1366569.354,299.4761739,0.937523454,12.87680791,80.18788895,4.913258019,0.00723775884,0,-4.54E-05
1396721.394,299.8125353,0.982877348,-1.1176817,47.65461065,-3.4401827,0.00653053425,0,0.000135435679
1396179.476,299.7705693,0.974681439,-1.212106487,48.77031877,-3.955080469,0.0065213763,0,0.000100212634
1400855.582,299.6178068,0.955060075,-0.948918917,67.00665381,-4.032380844,0.00654979638,0,0.000125130624
1403484.053,299.3715524,0.955085361,-0.565095438,77.22668102,-0.171817018,0.00659871944,0,0.000175454006
1400361.657,299.6950984,0.973182952,-1.329879428,60.51398917,-2.490852072,0.00657029644,0,0.000202056763
1399818.275,299.4995132,0.958510371,-1.129011447,74.09957297,-1.618518503,0.00657656692,0,0.000157172595
1398070.774,299.1654614,0.92158041,0.698757096,85.51719423,3.759753723,0.0066363543,0,0.000167898215
1398134.209,299.1652971,0.921652807,0.71561723,85.5344237,3.754100282,0.00665870687,0,0.000152888832
1397949.012,299.1652891,0.921603026,0.723584244,85.50575985,3.743387857,0.00666259037,0,0.000178635943
1395313.578,299.1563958,0.917754455,0.608880232,87.34510061,3.783143793,0.00664374192,0,0.00013812691
1396051.53,299.2705773,0.938093957,0.626663978,81.8823164,2.870018409,0.00660762408,0,0.000153589295
1395536.925,299.3493062,0.94828672,-0.0425525202,78.08808529,2.107832257,0.0065856523,0,0.000136012641
