pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
2.22E+06,3.00E+02,9.69E-01,1.55E-01,9.760096827,-9.82E-01,7.05E-03,-1.15E-02,-7.78E-04
2.22E+06,3.00E+02,9.78E-01,2.87E-01,9.750498889,-8.45E-01,7.04E-03,-1.15E-02,-7.63E-04
2.22E+06,3.00E+02,9.85E-01,2.46E-01,9.621030944,-6.40E-01,7.03E-03,-1.15E-02,-7.74E-04
2.22E+06,3.00E+02,9.85E-01,2.14E-01,9.527210407,-6.55E-01,7.03E-03,-1.15E-02,-7.87E-04
2.22E+06,3.00E+02,9.68E-01,1.22E-01,9.723446868,-9.08E-01,7.05E-03,-1.15E-02,-7.91E-04
2.22E+06,3.00E+02,9.84E-01,1.25E-01,9.567980637,-7.87E-01,7.04E-03,-1.15E-02,-8.04E-04
2.22E+06,3.00E+02,9.91E-01,3.78E-01,9.555670178,-3.66E-01,7.03E-03,-1.15E-02,-7.68E-04
2.22E+06,3.00E+02,9.92E-01,5.64E-01,9.61093083,-2.24E-01,7.02E-03,-1.15E-02,-7.52E-04
2.22E+06,3.00E+02,9.85E-01,4.63E-01,9.754480959,-5.38E-01,7.04E-03,-1.15E-02,-7.57E-04
2.22E+06,3.00E+02,9.50E-01,8.50E-02,9.90733939,-7.21E-01,7.07E-03,-1.15E-02,-8.25E-04
2.22E+06,3.00E+02,9.80E-01,1.41E-01,9.738107224,-7.38E-01,7.05E-03,-1.15E-02,-8.24E-04
2.22E+06,3.00E+02,9.88E-01,1.93E-01,9.743738576,-6.68E-01,7.06E-03,-1.15E-02,-8.40E-04
2.22E+06,3.00E+02,9.35E-01,9.21E-02,9.96078376,-8.15E-01,7.07E-03,-1.15E-02,-8.09E-04
2.22E+06,3.00E+02,9.70E-01,1.33E-01,9.745199329,-7.82E-01,7.05E-03,-1.15E-02,-8.08E-04
2.22E+06,3.00E+02,9.34E-01,8.41E-02,9.877125166,-8.45E-01,7.06E-03,-1.15E-02,-7.96E-04
2.22E+06,3.00E+02,1.00E+00,1.44E-01,9.284735053,-3.75E-01,7.07E-03,-1.15E-02,-8.84E-04
2.22E+06,3.00E+02,9.99E-01,1.73E-01,9.436632045,-3.68E-01,7.08E-03,-1.15E-02,-8.74E-04
2.22E+06,3.00E+02,9.99E-01,2.58E-01,9.530759535,-4.52E-01,7.07E-03,-1.15E-02,-8.63E-04
2.22E+06,3.00E+02,1.00E+00,2.66E-02,9.101063263,-3.76E-01,7.07E-03,-1.15E-02,-8.92E-04
2.22E+06,3.00E+02,1.00E+00,7.26E-02,9.094692019,-2.93E-01,7.08E-03,-1.15E-02,-8.97E-04
2.22E+06,3.00E+02,1.00E+00,8.43E-02,9.272240966,-3.30E-01,7.08E-03,-1.15E-02,-8.83E-04
2.22E+06,3.00E+02,9.99E-01,3.58E-02,9.283059167,-2.36E-01,7.10E-03,-1.15E-02,-8.74E-04
2.22E+06,3.00E+02,9.99E-01,-5.71E-02,9.253224101,-2.67E-01,7.12E-03,-1.15E-02,-8.65E-04
2.22E+06,3.00E+02,1.00E+00,-4.08E-02,9.167038581,-2.60E-01,7.11E-03,-1.15E-02,-8.84E-04
