pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
2.21E+06,2.98E+02,6.35E-01,-1.60E+00,12.96009108,4.55E-01,6.96E-03,-1.15E-02,-7.07E-04
2.21E+06,2.98E+02,5.67E-01,-1.55E+00,12.86737797,5.38E-01,6.95E-03,-1.15E-02,-6.87E-04
2.21E+06,2.98E+02,5.78E-01,-1.38E+00,12.50083621,6.82E-01,6.95E-03,-1.15E-02,-6.68E-04
2.21E+06,2.98E+02,6.09E-01,-1.21E+00,12.17575486,8.26E-01,6.98E-03,-1.15E-02,-6.68E-04
2.21E+06,2.98E+02,5.09E-01,-1.31E+00,12.53738153,7.10E-01,6.95E-03,-1.15E-02,-6.54E-04
2.21E+06,2.98E+02,4.42E-01,-1.49E+00,12.86800819,4.65E-01,6.92E-03,-1.15E-02,-6.54E-04
2.21E+06,2.98E+02,4.32E-01,-1.39E+00,12.85309133,5.90E-01,6.91E-03,-1.15E-02,-6.41E-04
2.21E+06,2.98E+02,4.95E-01,-1.08E+00,12.56192974,9.82E-01,6.95E-03,-1.15E-02,-6.34E-04
2.21E+06,2.98E+02,4.38E-01,-1.48E+00,13.01445643,4.86E-01,6.89E-03,-1.15E-02,-6.41E-04
2.21E+06,2.98E+02,5.81E-01,-1.04E+00,12.17587346,1.02E+00,6.98E-03,-1.15E-02,-6.44E-04
2.21E+06,2.98E+02,5.50E-01,-1.05E+00,12.18323377,1.03E+00,6.97E-03,-1.15E-02,-6.34E-04
2.21E+06,2.98E+02,5.28E-01,-8.18E-01,12.23602062,1.16E+00,6.97E-03,-1.15E-02,-6.16E-04
2.21E+06,3.00E+02,6.71E-01,8.45E-01,8.820271474,-1.24E+00,6.75E-03,-1.15E-02,-9.29E-04
2.21E+06,2.99E+02,6.93E-01,9.74E-01,10.55001731,-9.66E-01,6.74E-03,-1.15E-02,-9.12E-04
2.21E+06,3.00E+02,9.03E-01,8.50E-01,7.843724037,-7.62E-01,6.73E-03,-1.15E-02,-9.23E-04
2.21E+06,3.00E+02,9.84E-01,-1.42E+00,5.29292817,1.97E+00,6.72E-03,-1.15E-02,-9.55E-04
2.22E+06,3.00E+02,9.99E-01,-5.21E-01,4.345505218,4.75E-02,6.72E-03,-1.15E-02,-9.37E-04
2.21E+06,3.00E+02,9.98E-01,1.32E+00,4.420431838,1.68E+00,6.70E-03,-1.15E-02,-9.48E-04
2.21E+06,3.00E+02,9.85E-01,1.19E+00,5.623690951,-7.18E-01,6.73E-03,-1.15E-02,-9.36E-04
2.21E+06,3.00E+02,9.58E-01,-6.38E-01,5.570850919,-6.33E-01,6.74E-03,-1.15E-02,-9.53E-04
2.21E+06,3.00E+02,8.70E-01,-3.23E-02,6.616470255,-1.17E+00,6.75E-03,-1.15E-02,-9.41E-04
2.21E+06,2.99E+02,7.53E-01,9.90E-01,10.07395864,-9.44E-01,6.74E-03,-1.15E-02,-9.06E-04
2.21E+06,3.00E+02,8.76E-01,9.71E-01,9.124428365,-5.63E-01,6.72E-03,-1.15E-02,-9.02E-04
2.21E+06,3.00E+02,9.68E-01,9.17E-01,7.41852134,-5.01E-01,6.72E-03,-1.15E-02,-9.17E-04
2.21E+06,2.99E+02,6.14E-01,5.27E-02,12.31769956,-7.94E-01,6.74E-03,-1.15E-02,-8.93E-04
2.21E+06,2.98E+02,6.38E-01,-4.11E-01,12.74977987,-6.04E-01,6.73E-03,-1.15E-02,-8.75E-04
2.21E+06,2.99E+02,6.31E-01,3.43E-03,11.74017295,-3.99E-01,6.72E-03,-1.15E-02,-8.88E-04
2.21E+06,3.00E+02,9.86E-01,1.06E+00,7.77450831,-1.15E-01,6.71E-03,-1.15E-02,-9.02E-04
