pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
2.22E+06,2.99E+02,8.86E-01,-1.63E-01,11.64169256,5.01E-02,7.07E-03,-1.15E-02,-7.36E-04
2.22E+06,2.99E+02,8.54E-01,-2.26E-01,11.64293722,-1.22E-02,7.09E-03,-1.15E-02,-7.33E-04
2.22E+06,2.99E+02,7.95E-01,-4.43E-01,11.57068247,1.21E-02,7.08E-03,-1.15E-02,-7.47E-04
2.22E+06,2.99E+02,8.21E-01,5.41E-01,11.85755456,-4.04E-02,7.07E-03,-1.15E-02,-7.09E-04
2.22E+06,2.99E+02,8.82E-01,2.33E-01,11.71204767,6.55E-02,7.07E-03,-1.15E-02,-7.23E-04
2.22E+06,2.99E+02,8.98E-01,3.13E-01,11.64798569,6.95E-02,7.08E-03,-1.15E-02,-7.21E-04
2.22E+06,2.99E+02,7.49E-01,4.98E-01,11.93607033,-5.15E-02,7.06E-03,-1.15E-02,-7.08E-04
2.22E+06,2.99E+02,8.63E-01,2.51E-01,11.78368099,8.00E-02,7.06E-03,-1.15E-02,-7.23E-04
2.22E+06,2.99E+02,8.12E-01,2.39E-01,12.00254244,8.13E-02,7.05E-03,-1.15E-02,-7.16E-04
2.22E+06,2.99E+02,6.26E-01,6.91E-01,12.08636303,2.72E-01,7.08E-03,-1.15E-02,-6.91E-04
2.22E+06,2.99E+02,6.63E-01,6.09E-01,12.00616085,4.54E-01,7.09E-03,-1.15E-02,-6.86E-04
2.22E+06,2.98E+02,4.97E-01,7.67E-01,12.35230918,2.66E-01,7.08E-03,-1.15E-02,-6.74E-04
2.22E+06,2.99E+02,8.50E-01,3.35E-01,11.78546799,2.42E-01,7.08E-03,-1.15E-02,-7.04E-04
2.22E+06,2.99E+02,8.70E-01,2.73E-01,11.72143459,4.48E-01,7.09E-03,-1.15E-02,-6.99E-04
2.22E+06,2.99E+02,8.81E-01,1.10E-01,11.72176669,3.55E-01,7.09E-03,-1.15E-02,-7.16E-04
2.22E+06,2.99E+02,9.09E-01,-4.39E-01,11.4588203,1.09E+00,7.03E-03,-1.15E-02,-7.28E-04
2.22E+06,2.99E+02,6.68E-01,-5.84E-01,11.61105178,1.18E+00,7.04E-03,-1.15E-02,-7.44E-04
2.22E+06,2.99E+02,7.95E-01,-5.50E-01,11.51130296,1.36E+00,7.02E-03,-1.15E-02,-7.39E-04
2.22E+06,2.99E+02,7.65E-01,-5.40E-01,11.57212162,3.08E-01,7.05E-03,-1.15E-02,-7.48E-04
2.22E+06,2.99E+02,8.87E-01,-4.17E-01,11.50760164,2.32E-01,7.06E-03,-1.15E-02,-7.39E-04
2.22E+06,2.99E+02,7.14E-01,-6.34E-01,11.6308747,2.42E-01,7.07E-03,-1.15E-02,-7.50E-04
2.22E+06,2.99E+02,8.69E-01,-4.41E-01,11.42275845,4.91E-01,7.05E-03,-1.15E-02,-7.43E-04
2.22E+06,2.99E+02,9.01E-01,-2.15E-01,11.62225777,2.99E-01,7.06E-03,-1.15E-02,-7.33E-04
2.22E+06,2.99E+02,8.87E-01,-1.21E-01,11.70745915,4.38E-01,7.04E-03,-1.15E-02,-7.26E-04
2.22E+06,2.98E+02,4.52E-01,7.73E-01,12.27654284,-1.07E-01,7.06E-03,-1.15E-02,-6.90E-04
2.22E+06,2.98E+02,4.04E-01,9.00E-01,12.56195739,-5.19E-02,7.05E-03,-1.15E-02,-6.80E-04
2.22E+06,2.98E+02,4.62E-01,7.84E-01,12.43637628,-6.99E-02,7.06E-03,-1.15E-02,-6.73E-04
2.22E+06,2.98E+02,4.53E-01,6.92E-01,12.2180264,-8.99E-02,7.06E-03,-1.15E-02,-6.99E-04
2.22E+06,2.98E+02,4.25E-01,9.47E-01,12.55673355,-1.15E-02,7.04E-03,-1.15E-02,-6.89E-04
2.22E+06,2.99E+02,6.08E-01,5.83E-01,12.21582291,1.03E-01,7.05E-03,-1.15E-02,-7.08E-04
2.22E+06,2.99E+02,8.17E-01,-4.68E-01,12.23596501,1.07E+00,7.01E-03,-1.15E-02,-7.12E-04
2.22E+06,2.99E+02,8.91E-01,-4.15E-01,11.75018754,1.07E+00,7.03E-03,-1.15E-02,-7.20E-04
2.22E+06,2.99E+02,8.68E-01,-6.07E-01,11.73798263,1.14E+00,7.02E-03,-1.15E-02,-7.32E-04
2.22E+06,2.99E+02,6.81E-01,3.81E-01,12.59590092,5.41E-01,7.02E-03,-1.15E-02,-7.00E-04
2.22E+06,2.99E+02,7.27E-01,3.85E-01,12.24728231,4.29E-01,7.03E-03,-1.15E-02,-7.08E-04
2.22E+06,2.98E+02,4.91E-01,8.90E-01,12.62640563,3.68E-02,7.03E-03,-1.15E-02,-6.89E-04
2.22E+06,2.99E+02,5.86E-01,6.53E-01,12.11038217,5.08E-01,7.10E-03,-1.15E-02,-6.80E-04
