pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
2.21E+06,2.99E+02,9.81E-01,-1.11E+00,13.38882219,1.00E+00,6.55E-03,-1.15E-02,-5.51E-04
2.21E+06,2.99E+02,9.71E-01,-1.10E+00,13.36911098,9.28E-01,6.56E-03,-1.15E-02,-5.51E-04
2.21E+06,2.99E+02,9.83E-01,-1.37E+00,13.29429013,8.47E-01,6.55E-03,-1.15E-02,-5.37E-04
2.21E+06,2.99E+02,9.45E-01,-7.24E-01,13.38772404,1.30E+00,6.58E-03,-1.15E-02,-5.84E-04
2.21E+06,2.99E+02,9.50E-01,-5.06E-01,13.32998163,1.26E+00,6.57E-03,-1.15E-02,-5.71E-04
2.21E+06,2.99E+02,9.56E-01,-7.60E-01,13.33866205,1.49E+00,6.56E-03,-1.15E-02,-5.85E-04
2.21E+06,2.99E+02,9.52E-01,-6.70E-01,13.4141781,1.19E+00,6.59E-03,-1.15E-02,-5.81E-04
2.21E+06,2.99E+02,9.51E-01,-5.45E-01,13.38447681,1.25E+00,6.58E-03,-1.15E-02,-5.68E-04
2.21E+06,2.99E+02,9.59E-01,-5.72E-01,13.38223612,1.06E+00,6.60E-03,-1.15E-02,-5.68E-04
2.21E+06,2.99E+02,9.81E-01,-1.17E+00,13.48430251,1.08E+00,6.60E-03,-1.15E-02,-5.99E-04
2.21E+06,2.99E+02,9.88E-01,-1.11E+00,13.46979906,9.11E-01,6.62E-03,-1.15E-02,-6.00E-04
2.21E+06,2.99E+02,9.97E-01,-1.51E+00,13.40341599,1.10E+00,6.61E-03,-1.15E-02,-6.13E-04
2.21E+06,2.99E+02,9.59E-01,-7.99E-01,13.50561431,1.05E+00,6.60E-03,-1.15E-02,-5.84E-04
2.21E+06,2.99E+02,9.70E-01,-7.47E-01,13.51297772,8.21E-01,6.62E-03,-1.15E-02,-5.85E-04
2.21E+06,2.99E+02,9.63E-01,-6.26E-01,13.41300348,8.86E-01,6.61E-03,-1.15E-02,-5.72E-04
2.21E+06,2.99E+02,9.91E-01,-1.67E+00,13.36104126,1.51E+00,6.57E-03,-1.15E-02,-6.10E-04
2.21E+06,2.99E+02,9.67E-01,-1.22E+00,13.4063366,1.32E+00,6.58E-03,-1.15E-02,-5.98E-04
2.21E+06,2.99E+02,9.72E-01,-1.42E+00,13.35442013,1.53E+00,6.56E-03,-1.15E-02,-5.99E-04
2.21E+06,2.99E+02,9.99E-01,-1.73E+00,13.39285109,1.43E+00,6.58E-03,-1.15E-02,-6.13E-04
2.21E+06,2.99E+02,9.84E-01,-1.36E+00,13.4626765,1.25E+00,6.59E-03,-1.15E-02,-6.01E-04
2.21E+06,2.99E+02,9.97E-01,-1.72E+00,13.37860498,1.28E+00,6.60E-03,-1.15E-02,-6.15E-04
2.21E+06,2.99E+02,1.00E+00,-1.94E+00,13.41087858,1.48E+00,6.58E-03,-1.15E-02,-6.26E-04
2.21E+06,2.99E+02,1.00E+00,-1.93E+00,13.40141523,1.35E+00,6.60E-03,-1.15E-02,-6.28E-04
2.21E+06,2.99E+02,9.99E-01,-1.97E+00,13.47729709,1.45E+00,6.59E-03,-1.15E-02,-6.40E-04
2.21E+06,2.99E+02,9.60E-01,-7.91E-01,13.30012288,1.29E+00,6.55E-03,-1.15E-02,-5.82E-04
2.21E+06,2.99E+02,9.67E-01,-7.53E-01,13.36972272,1.04E+00,6.55E-03,-1.15E-02,-5.68E-04
2.21E+06,2.99E+02,9.61E-01,-6.35E-01,13.35568205,1.12E+00,6.56E-03,-1.15E-02,-5.68E-04
2.21E+06,2.99E+02,9.84E-01,-1.56E+00,13.20329711,1.98E+00,6.54E-03,-1.15E-02,-5.95E-04
2.21E+06,2.99E+02,9.80E-01,-1.50E+00,13.27306088,1.95E+00,6.52E-03,-1.15E-02,-5.88E-04
2.21E+06,2.99E+02,9.93E-01,-1.80E+00,13.2816215,2.02E+00,6.53E-03,-1.15E-02,-6.06E-04
2.21E+06,2.99E+02,9.98E-01,-1.64E+00,13.2987449,1.95E+00,6.49E-03,-1.15E-02,-5.98E-04
2.21E+06,2.99E+02,9.96E-01,-1.76E+00,13.34192506,1.98E+00,6.51E-03,-1.15E-02,-6.06E-04
2.21E+06,2.99E+02,9.91E-01,-1.49E+00,13.2374618,1.95E+00,6.51E-03,-1.15E-02,-5.88E-04
2.21E+06,3.00E+02,9.04E-01,-1.84E+00,7.696423603,1.82E+00,6.43E-03,-1.15E-02,-7.21E-04
2.21E+06,3.00E+02,8.30E-01,-1.90E+00,8.166526182,1.70E+00,6.42E-03,-1.15E-02,-7.09E-04
2.21E+06,3.00E+02,7.81E-01,-1.76E+00,8.665190773,1.84E+00,6.44E-03,-1.15E-02,-7.02E-04
2.21E+06,3.00E+02,9.00E-01,-1.42E+00,7.837388063,7.61E-01,6.42E-03,-1.15E-02,-7.27E-04
2.21E+06,3.00E+02,8.66E-01,-1.17E+00,8.301653259,6.88E-01,6.41E-03,-1.15E-02,-7.16E-04
2.21E+06,2.99E+02,8.98E-01,-9.30E-01,8.343230621,-5.04E-02,6.40E-03,-1.15E-02,-7.30E-04
2.21E+06,3.00E+02,9.65E-01,2.38E-01,5.865677843,-7.62E-01,6.38E-03,-1.15E-02,-7.49E-04
2.21E+06,3.00E+02,9.58E-01,-1.99E-01,5.435791201,-2.19E+00,6.37E-03,-1.15E-02,-7.70E-04
