pressure,temperature,mass-fraction-water,density,x-velocity,y-velocity,z-velocity,x,y,z,Cell Type
2.74E+06,3.00E+02,9.99E-01,9.67E+02,1.31E+00,11.6,-9.46E-01,7.01E-03,-1.15E-02,5.64E-04,5
2.74E+06,3.00E+02,9.98E-01,9.54E+02,1.38E+00,11.7,-1.07E+00,7.02E-03,-1.15E-02,5.49E-04,5
2.74E+06,3.00E+02,1.00E+00,9.98E+02,8.32E-01,12,-3.34E-01,6.88E-03,-1.15E-02,5.84E-04,5
2.74E+06,3.00E+02,1.00E+00,9.98E+02,6.62E-01,12.1,-3.88E-01,6.87E-03,-1.15E-02,5.72E-04,5
2.74E+06,3.00E+02,1.00E+00,9.98E+02,8.51E-01,12.2,-5.79E-01,6.87E-03,-1.15E-02,5.51E-04,5
2.74E+06,3.00E+02,1.00E+00,9.98E+02,6.07E-01,12.3,-6.56E-01,6.85E-03,-1.15E-02,5.41E-04,5
2.74E+06,3.00E+02,9.93E-01,8.29E+02,1.60E+00,12.6,-1.22E+00,7.02E-03,-1.15E-02,4.77E-04,5
2.74E+06,3.00E+02,9.93E-01,8.27E+02,1.64E+00,12.7,-1.22E+00,7.03E-03,-1.15E-02,4.67E-04,5
2.74E+06,3.00E+02,9.93E-01,8.23E+02,1.60E+00,12.5,-1.20E+00,7.06E-03,-1.15E-02,4.75E-04,5
2.74E+06,3.00E+02,1.00E+00,9.98E+02,9.21E-01,12.4,-9.77E-01,6.86E-03,-1.15E-02,5.07E-04,5
2.74E+06,3.00E+02,1.00E+00,9.98E+02,7.28E-01,12.4,-8.16E-01,6.85E-03,-1.15E-02,5.18E-04,5
2.74E+06,3.00E+02,9.93E-01,8.29E+02,1.45E+00,12.1,-1.16E+00,7.05E-03,-1.15E-02,5.11E-04,5
2.74E+06,3.00E+02,9.95E-01,8.66E+02,1.44E+00,12.1,-1.20E+00,7.03E-03,-1.15E-02,5.11E-04,5
2.74E+06,3.00E+02,9.94E-01,8.36E+02,1.74E+00,13.4,-1.30E+00,7.02E-03,-1.15E-02,4.29E-04,5
