pressure,temperature,mass-fraction-water,density,x-velocity,y-velocity,z-velocity,x,y,z,Cell Type
2.86E+06,3.00E+02,7.10E-01,1.06E+02,-1.27E-01,16.9,-1.48E+00,7.17E-03,-1.15E-02,-1.68E-04,5
2.86E+06,3.00E+02,8.34E-01,1.71E+02,-6.07E-02,16,-7.04E-01,7.20E-03,-1.15E-02,-1.66E-04,5
2.86E+06,3.00E+02,8.57E-01,1.94E+02,-9.99E-02,14.4,-7.09E-01,7.25E-03,-1.15E-02,-1.79E-04,5
2.86E+06,3.00E+02,8.11E-01,1.54E+02,-4.20E-01,14.3,-1.25E+00,7.13E-03,-1.15E-02,-3.60E-04,5
2.86E+06,3.00E+02,6.78E-01,9.65E+01,-7.28E-01,13.4,-1.32E+00,7.00E-03,-1.15E-02,-2.82E-04,5
2.86E+06,3.00E+02,6.21E-01,8.33E+01,-1.27E+00,13.5,-8.12E-01,6.98E-03,-1.15E-02,-3.30E-04,5
2.86E+06,3.00E+02,8.83E-01,2.27E+02,-3.27E-01,11.4,-7.24E-01,7.13E-03,-1.15E-02,-4.62E-04,5
2.86E+06,3.00E+02,5.10E-01,6.56E+01,-2.84E-01,14.4,-1.57E+00,7.06E-03,-1.15E-02,-5.84E-05,5
2.86E+06,3.00E+02,9.01E-01,2.57E+02,-4.82E-01,13,-1.79E+00,7.26E-03,-1.15E-02,-2.73E-04,5
2.86E+06,3.00E+02,8.36E-01,1.74E+02,3.06E-01,14.4,-1.13E+00,7.23E-03,-1.15E-02,-2.27E-04,5
2.86E+06,3.00E+02,7.29E-01,1.12E+02,-7.61E-01,11.6,-1.78E+00,7.23E-03,-1.15E-02,-3.64E-04,5
2.86E+06,3.00E+02,7.65E-01,1.28E+02,-4.92E-01,12.6,-1.74E+00,7.21E-03,-1.15E-02,-3.32E-04,5
2.86E+06,3.00E+02,8.15E-01,1.57E+02,1.97E-01,15.5,-1.28E+00,7.18E-03,-1.15E-02,-2.83E-04,5
2.86E+06,3.00E+02,6.62E-01,9.23E+01,1.66E-01,14.3,-1.81E+00,7.06E-03,-1.15E-02,-1.48E-04,5
2.86E+06,3.00E+02,7.40E-01,1.17E+02,-6.55E-01,11.6,-1.53E+00,7.19E-03,-1.15E-02,-3.83E-04,5
2.86E+06,3.00E+02,8.29E-01,1.67E+02,-2.46E-01,15.2,-3.91E-01,7.23E-03,-1.15E-02,-1.33E-04,5
2.86E+06,3.00E+02,8.83E-01,2.27E+02,-2.39E-01,13.8,-1.07E+00,7.27E-03,-1.15E-02,-2.10E-04,5
2.86E+06,3.00E+02,5.16E-01,6.64E+01,8.50E-02,16.5,-1.90E+00,7.13E-03,-1.15E-02,-2.41E-04,5
2.86E+06,3.00E+02,7.41E-01,1.17E+02,-1.03E+00,11.8,-5.25E-01,6.95E-03,-1.15E-02,-3.75E-04,5
2.86E+06,3.00E+02,7.93E-01,1.42E+02,-1.45E-01,13.6,-1.46E+00,7.19E-03,-1.15E-02,-3.19E-04,5
2.86E+06,3.00E+02,5.38E-01,6.92E+01,-1.55E-01,14.6,-1.59E+00,7.07E-03,-1.15E-02,-7.67E-05,5
2.86E+06,3.00E+02,5.46E-01,7.05E+01,-2.59E-01,14,-1.71E+00,7.05E-03,-1.15E-02,-2.73E-04,5
2.86E+06,3.00E+02,5.99E-01,7.90E+01,-6.59E-01,17.1,-1.21E+00,7.12E-03,-1.15E-02,-5.39E-05,5
2.86E+06,3.00E+02,7.93E-01,1.42E+02,-4.68E-01,15.7,-2.69E-01,7.22E-03,-1.15E-02,-9.99E-05,5
2.86E+06,3.00E+02,6.80E-01,9.72E+01,3.28E-01,14.7,-1.93E+00,7.09E-03,-1.15E-02,-1.71E-04,5
2.86E+06,3.00E+02,4.64E-01,6.04E+01,-4.79E-01,15.7,-1.54E+00,7.08E-03,-1.15E-02,-3.11E-04,5
2.86E+06,3.00E+02,7.46E-01,1.19E+02,-3.02E-01,13,-1.60E+00,7.02E-03,-1.15E-02,-2.60E-04,5
2.86E+06,3.00E+02,8.97E-01,2.50E+02,-3.14E-01,13.5,-1.35E+00,7.27E-03,-1.15E-02,-2.31E-04,5
2.86E+06,3.00E+02,8.11E-01,1.54E+02,4.40E-02,13.9,-1.45E+00,7.22E-03,-1.15E-02,-2.68E-04,5
2.86E+06,3.00E+02,7.84E-01,1.37E+02,-4.97E-01,14.9,-1.39E+00,7.11E-03,-1.15E-02,-3.60E-04,5
2.86E+06,3.00E+02,8.12E-01,1.55E+02,-1.03E-01,14.4,-1.37E+00,7.18E-03,-1.15E-02,-3.25E-04,5
2.86E+06,3.00E+02,8.33E-01,1.70E+02,2.10E-01,15.9,-9.28E-01,7.20E-03,-1.15E-02,-2.04E-04,5
2.86E+06,3.00E+02,8.47E-01,1.83E+02,5.25E-02,14.9,-5.73E-01,7.24E-03,-1.15E-02,-1.66E-04,5
2.86E+06,3.00E+02,8.33E-01,1.71E+02,-4.74E-01,16.1,-4.52E-01,7.20E-03,-1.15E-02,-1.13E-04,5
2.86E+06,3.00E+02,8.66E-01,2.04E+02,-1.23E+00,16.9,-9.39E-01,7.18E-03,-1.15E-02,-4.24E-05,5
2.86E+06,3.00E+02,7.19E-01,1.09E+02,-8.11E-01,13.1,-1.14E+00,6.98E-03,-1.15E-02,-2.80E-04,5
2.86E+06,3.00E+02,5.22E-01,6.71E+01,-2.75E-01,15.1,-1.32E+00,7.07E-03,-1.15E-02,-4.43E-05,5
2.86E+06,3.00E+02,5.60E-01,7.25E+01,1.94E-01,15,-2.02E+00,7.10E-03,-1.15E-02,-2.18E-04,5
2.86E+06,3.00E+02,5.78E-01,7.54E+01,-4.08E-01,16.5,-1.71E+00,7.12E-03,-1.15E-02,-1.11E-04,5
2.86E+06,3.00E+02,6.41E-01,8.73E+01,2.47E-01,14,-1.87E+00,7.05E-03,-1.15E-02,-1.40E-04,5
2.86E+06,3.00E+02,6.02E-01,7.96E+01,-6.72E-03,15.1,-1.79E+00,7.08E-03,-1.15E-02,-1.18E-04,5
2.86E+06,3.00E+02,7.02E-01,1.03E+02,-1.31E+00,12.7,-5.90E-01,6.95E-03,-1.15E-02,-3.27E-04,5
2.86E+06,3.00E+02,7.72E-01,1.31E+02,-4.69E-01,11.3,-1.06E+00,7.14E-03,-1.15E-02,-4.31E-04,5
2.86E+06,3.00E+02,4.43E-01,5.82E+01,-2.59E-01,15.3,-1.73E+00,7.09E-03,-1.15E-02,-2.78E-04,5
2.86E+06,3.00E+02,7.20E-01,1.09E+02,-6.14E-01,11.2,-1.55E+00,7.21E-03,-1.15E-02,-3.94E-04,5
2.86E+06,3.00E+02,5.50E-01,7.11E+01,-9.56E-02,16.2,-1.72E+00,7.12E-03,-1.15E-02,-2.83E-04,5
2.86E+06,3.00E+02,8.09E-01,1.52E+02,-4.23E-01,13.1,-1.36E+00,7.18E-03,-1.15E-02,-3.58E-04,5
2.86E+06,3.00E+02,7.93E-01,1.42E+02,-5.54E-01,12.6,-1.17E+00,7.14E-03,-1.15E-02,-3.96E-04,5
2.86E+06,3.00E+02,4.94E-01,6.37E+01,-6.74E-02,15.9,-1.79E+00,7.11E-03,-1.15E-02,-2.68E-04,5
2.86E+06,3.00E+02,7.79E-01,1.35E+02,-5.96E-01,12.9,-1.12E+00,7.11E-03,-1.15E-02,-3.97E-04,5
2.86E+06,3.00E+02,5.68E-01,7.37E+01,-7.66E-01,15.2,-1.27E+00,7.07E-03,-1.15E-02,-3.44E-04,5
2.86E+06,3.00E+02,7.41E-01,1.17E+02,-5.61E-01,12.1,-1.60E+00,7.19E-03,-1.15E-02,-3.62E-04,5
