pressure,temperature,mass-fraction-water,density,x-velocity,y-velocity,z-velocity,x,y,z,Cell Type
2.97E+06,3.00E+02,9.64E-01,4.96E+02,-8.27E-01,13.9,-1.90E-01,7.01E-03,-1.15E-02,5.64E-04,5
2.97E+06,3.00E+02,9.89E-01,7.68E+02,-4.73E-01,14.2,2.30E-01,7.02E-03,-1.15E-02,5.49E-04,5
2.97E+06,3.01E+02,9.53E-01,4.33E+02,-5.86E-01,13,-1.75E+00,6.88E-03,-1.15E-02,5.84E-04,5
2.97E+06,3.01E+02,9.72E-01,5.62E+02,-2.12E-01,13,-1.95E+00,6.87E-03,-1.15E-02,5.72E-04,5
2.97E+06,3.01E+02,9.63E-01,4.92E+02,-2.16E-01,13,-2.05E+00,6.87E-03,-1.15E-02,5.51E-04,5
2.97E+06,3.01E+02,9.58E-01,4.60E+02,-9.25E-02,13.1,-2.01E+00,6.85E-03,-1.15E-02,5.41E-04,5
2.97E+06,3.00E+02,1.00E+00,9.98E+02,-5.00E-01,14.6,7.98E-01,7.02E-03,-1.15E-02,4.77E-04,5
2.97E+06,3.00E+02,1.00E+00,9.97E+02,-3.55E-01,14.6,1.01E+00,7.03E-03,-1.15E-02,4.67E-04,5
2.97E+06,3.00E+02,1.00E+00,9.91E+02,-1.63E-02,14.5,8.93E-01,7.06E-03,-1.15E-02,4.75E-04,5
2.97E+06,3.00E+02,9.51E-01,4.22E+02,-4.61E-01,13.2,-1.98E+00,6.86E-03,-1.15E-02,5.07E-04,5
2.97E+06,3.01E+02,9.59E-01,4.66E+02,-1.52E-01,13.1,-1.89E+00,6.85E-03,-1.15E-02,5.18E-04,5
2.97E+06,3.00E+02,1.00E+00,9.90E+02,-1.67E-01,14.4,6.41E-01,7.05E-03,-1.15E-02,5.11E-04,5
2.97E+06,3.00E+02,1.00E+00,9.85E+02,-2.60E-01,14.4,5.66E-01,7.03E-03,-1.15E-02,5.11E-04,5
2.97E+06,3.00E+02,9.99E-01,9.75E+02,-5.55E-01,14.6,1.26E+00,7.02E-03,-1.15E-02,4.29E-04,5
2.97E+06,3.00E+02,1.00E+00,9.96E+02,-5.43E-01,14.6,9.80E-01,7.00E-03,-1.15E-02,4.33E-04,5
2.97E+06,3.00E+02,1.00E+00,9.98E+02,-6.86E-01,14.5,6.05E-01,6.99E-03,-1.15E-02,4.54E-04,5
2.97E+06,3.00E+02,1.00E+00,9.98E+02,-7.36E-01,14.5,2.16E-01,6.97E-03,-1.15E-02,4.52E-04,5
2.97E+06,3.00E+02,1.00E+00,9.96E+02,-7.18E-01,14.4,2.96E-01,6.96E-03,-1.15E-02,4.16E-04,5
2.97E+06,3.00E+02,9.42E-01,3.80E+02,-1.41E+00,14,-6.71E-01,6.97E-03,-1.15E-02,5.70E-04,5
2.97E+06,3.00E+02,9.31E-01,3.40E+02,-2.02E-01,13.6,-1.35E+00,6.83E-03,-1.15E-02,5.15E-04,5
2.97E+06,3.00E+02,9.16E-01,2.99E+02,-1.66E-01,15.3,-7.72E-01,6.79E-03,-1.15E-02,5.06E-04,5
2.97E+06,3.00E+02,9.92E-01,8.25E+02,-4.05E-01,14.3,3.03E-01,7.02E-03,-1.15E-02,5.29E-04,5
2.97E+06,3.00E+02,9.86E-01,7.14E+02,-4.44E-01,15.4,3.70E-01,6.74E-03,-1.15E-02,5.00E-04,5
2.97E+06,3.00E+02,9.48E-01,4.06E+02,-1.02E+00,14.1,-3.86E-01,6.98E-03,-1.15E-02,5.55E-04,5
2.97E+06,3.00E+02,9.78E-01,6.16E+02,-8.47E-01,14.5,-4.62E-01,6.95E-03,-1.15E-02,4.85E-04,5
2.97E+06,3.00E+02,1.00E+00,9.92E+02,-3.78E-01,14.6,1.26E+00,7.03E-03,-1.15E-02,4.45E-04,5
2.97E+06,3.00E+02,9.15E-01,2.95E+02,-1.44E+00,13.9,-1.04E+00,6.94E-03,-1.15E-02,5.87E-04,5
2.97E+06,3.01E+02,9.38E-01,3.64E+02,-6.16E-01,13.3,-2.02E+00,6.89E-03,-1.15E-02,5.41E-04,5
2.97E+06,3.00E+02,9.41E-01,3.78E+02,-6.82E-01,13.4,-1.96E+00,6.89E-03,-1.15E-02,5.20E-04,5
2.97E+06,3.00E+02,9.97E-01,9.26E+02,-6.11E-01,14.5,3.96E-01,7.00E-03,-1.15E-02,5.04E-04,5
2.97E+06,3.00E+02,9.95E-01,8.67E+02,-6.51E-01,14.4,1.31E-01,7.00E-03,-1.15E-02,5.22E-04,5
2.97E+06,3.00E+02,9.23E-01,3.17E+02,-7.87E-01,14,-1.80E+00,6.90E-03,-1.15E-02,4.90E-04,5
2.97E+06,3.00E+02,9.51E-01,4.21E+02,-8.56E-01,14.4,-1.29E+00,6.92E-03,-1.15E-02,4.64E-04,5
