pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
1.35E+06,3.00E+02,0.196640723,-5.31E+00,71.85730807,-1.38E+00,7.25E-03,-1.15E-02,-8.01E-05
1.36E+06,3.00E+02,0.197091348,-4.61E+00,70.85296309,9.05E-02,7.28E-03,-1.15E-02,-6.57E-05
1.36E+06,3.00E+02,0.197134797,-4.03E+00,66.91391758,1.58E+00,7.29E-03,-1.15E-02,-9.46E-05
1.36E+06,3.00E+02,0.197222296,-3.96E+00,66.62045904,1.73E+00,7.29E-03,-1.15E-02,-9.54E-05
1.36E+06,3.00E+02,0.197136775,-4.58E+00,70.73069921,1.65E-01,7.29E-03,-1.15E-02,-6.57E-05
1.36E+06,3.00E+02,0.197178381,-4.57E+00,70.48093168,2.31E-01,7.29E-03,-1.15E-02,-6.72E-05
1.35E+06,3.00E+02,0.196793963,-4.90E+00,72.98780278,-1.34E+00,7.26E-03,-1.15E-02,-6.54E-05
1.35E+06,3.00E+02,0.196793497,-4.93E+00,72.90922991,-1.34E+00,7.26E-03,-1.15E-02,-6.61E-05
1.36E+06,3.00E+02,0.197159962,-4.54E+00,70.83386198,1.46E-01,7.29E-03,-1.15E-02,-6.41E-05
1.35E+06,3.00E+02,0.196994636,-4.32E+00,73.69172419,-1.57E+00,7.25E-03,-1.15E-02,-5.03E-05
1.36E+06,3.00E+02,0.197185772,-3.89E+00,72.73073375,-3.68E-01,7.28E-03,-1.15E-02,-3.67E-05
1.36E+06,3.00E+02,0.197224933,-3.85E+00,72.66876908,-3.03E-01,7.28E-03,-1.15E-02,-3.59E-05
1.36E+06,3.00E+02,0.197136775,-4.58E+00,70.73069921,1.65E-01,7.29E-03,-1.15E-02,-6.57E-05
1.35E+06,3.00E+02,0.196823416,-4.87E+00,73.03066634,-1.35E+00,7.26E-03,-1.15E-02,-6.46E-05
1.35E+06,3.00E+02,0.196877316,-4.36E+00,73.7615176,-1.61E+00,7.25E-03,-1.15E-02,-5.11E-05
1.35E+06,3.00E+02,0.196141606,-4.67E+00,75.00841438,-2.24E+00,7.22E-03,-1.15E-02,-6.47E-05
1.35E+06,3.00E+02,0.196553322,-5.28E+00,72.04853791,-1.43E+00,7.25E-03,-1.15E-02,-7.93E-05
1.35E+06,3.00E+02,0.196994636,-4.32E+00,73.69172419,-1.57E+00,7.25E-03,-1.15E-02,-5.03E-05
1.36E+06,3.00E+02,0.196447391,-3.37E+00,73.35586306,-1.09E+00,7.26E-03,-1.15E-02,-1.16E-05
1.36E+06,3.00E+02,0.197199572,-3.83E+00,72.69593152,-3.42E-01,7.28E-03,-1.15E-02,-3.47E-05
1.36E+06,3.00E+02,0.196713613,-3.60E+00,73.51454278,-1.42E+00,7.25E-03,-1.15E-02,-2.93E-05
1.36E+06,3.00E+02,0.196710599,-3.58E+00,73.49503253,-1.40E+00,7.25E-03,-1.15E-02,-2.84E-05
1.36E+06,3.00E+02,0.196696799,-3.64E+00,73.52983476,-1.43E+00,7.25E-03,-1.15E-02,-3.04E-05
1.36E+06,3.00E+02,0.195566718,-2.84E+00,75.23432264,-9.68E-01,7.24E-03,-1.15E-02,1.06E-05
1.35E+06,3.00E+02,0.196174073,-3.43E+00,74.42241062,-1.52E+00,7.23E-03,-1.15E-02,-2.60E-05
1.36E+06,3.00E+02,0.195536806,-2.80E+00,75.26081008,-9.37E-01,7.24E-03,-1.15E-02,1.27E-05
1.36E+06,3.00E+02,0.195602666,-2.82E+00,75.16263853,-9.42E-01,7.24E-03,-1.15E-02,1.14E-05
1.36E+06,3.00E+02,0.196674652,-3.59E+00,73.56671665,-1.43E+00,7.25E-03,-1.15E-02,-2.91E-05
1.35E+06,3.00E+02,0.1960789,-3.51E+00,74.45532214,-1.56E+00,7.23E-03,-1.15E-02,-2.81E-05
1.35E+06,3.00E+02,0.187840099,-2.54E-01,73.89700346,2.45E+00,6.52E-03,-1.15E-02,1.55E-04
1.35E+06,3.00E+02,0.187814622,-5.91E-01,75.30200336,2.27E+00,6.54E-03,-1.15E-02,1.45E-04
1.35E+06,3.00E+02,0.187833909,-6.20E-01,75.43226467,2.25E+00,6.55E-03,-1.15E-02,1.44E-04
1.35E+06,3.00E+02,0.187184523,-1.17E+00,76.64656433,1.71E+00,6.53E-03,-1.15E-02,1.22E-04
1.35E+06,3.00E+02,0.187166462,-1.15E+00,76.55286641,1.72E+00,6.53E-03,-1.15E-02,1.22E-04
1.35E+06,3.00E+02,0.187183666,-9.23E-01,75.35582038,1.75E+00,6.52E-03,-1.15E-02,1.16E-04
1.35E+06,3.00E+02,0.187213562,-1.14E+00,76.61515025,1.74E+00,6.53E-03,-1.15E-02,1.23E-04
1.35E+06,3.00E+02,0.187211478,-8.91E-01,75.2878429,1.79E+00,6.52E-03,-1.15E-02,1.18E-04
1.35E+06,2.99E+02,0.186514073,-2.09E+00,79.59353169,8.71E-01,6.54E-03,-1.15E-02,1.06E-04
1.35E+06,3.00E+02,0.188590715,-6.40E-01,76.34986119,-1.91E-01,6.51E-03,-1.15E-02,7.82E-05
1.35E+06,2.99E+02,0.18658302,-2.01E+00,79.45333715,8.22E-01,6.53E-03,-1.15E-02,1.05E-04
1.35E+06,3.00E+02,0.187212552,-1.21E+00,76.82231214,1.67E+00,6.53E-03,-1.15E-02,1.21E-04
1.35E+06,3.00E+02,0.187298702,-9.07E-01,75.48507157,1.64E+00,6.51E-03,-1.15E-02,1.14E-04
1.35E+06,3.00E+02,0.187831135,-7.18E-01,75.69271925,2.21E+00,6.55E-03,-1.15E-02,1.44E-04
1.35E+06,2.99E+02,0.186463407,-2.37E+00,80.22246748,1.57E+00,6.57E-03,-1.15E-02,1.34E-04
1.35E+06,2.99E+02,0.186512309,-2.12E+00,79.64682437,9.08E-01,6.54E-03,-1.15E-02,1.08E-04
1.35E+06,2.99E+02,0.186514073,-2.09E+00,79.59353169,8.71E-01,6.54E-03,-1.15E-02,1.06E-04
1.35E+06,2.99E+02,0.190877819,-3.34E+00,80.73757172,3.08E+00,6.62E-03,-1.15E-02,1.70E-04
1.35E+06,2.99E+02,0.188065468,-2.41E+00,80.93443374,2.14E+00,6.59E-03,-1.15E-02,1.53E-04
1.35E+06,2.99E+02,0.187943662,-2.35E+00,80.93260359,2.09E+00,6.59E-03,-1.15E-02,1.52E-04
1.34E+06,2.99E+02,0.188647154,-7.54E-01,79.60407004,3.95E+00,6.59E-03,-1.15E-02,1.98E-04
1.34E+06,2.99E+02,0.188657263,-7.68E-01,79.61257304,4.00E+00,6.59E-03,-1.15E-02,1.99E-04
1.34E+06,2.99E+02,0.188786668,-9.07E-01,79.6771084,3.95E+00,6.59E-03,-1.15E-02,1.97E-04
1.35E+06,2.99E+02,0.188012136,-4.31E-01,79.47651773,3.12E+00,6.58E-03,-1.15E-02,1.77E-04
1.35E+06,2.99E+02,0.187925954,-2.26E+00,80.86139538,2.14E+00,6.59E-03,-1.15E-02,1.53E-04
1.35E+06,3.00E+02,0.188176914,2.95E-02,76.23792822,3.01E+00,6.56E-03,-1.15E-02,1.80E-04
1.35E+06,3.00E+02,0.188194144,6.74E-02,76.24503006,3.09E+00,6.56E-03,-1.15E-02,1.83E-04
1.34E+06,3.00E+02,0.188773332,3.99E-01,76.8249099,4.15E+00,6.55E-03,-1.15E-02,2.27E-04
1.34E+06,2.99E+02,0.188657263,-7.68E-01,79.61257304,4.00E+00,6.59E-03,-1.15E-02,1.99E-04
1.34E+06,3.00E+02,0.188781606,3.09E-01,77.00438461,4.12E+00,6.56E-03,-1.15E-02,2.26E-04
1.35E+06,3.00E+02,0.188192309,-8.39E-03,76.41600177,3.01E+00,6.56E-03,-1.15E-02,1.80E-04
1.35E+06,2.99E+02,0.186511834,-2.38E+00,80.25699121,1.61E+00,6.57E-03,-1.15E-02,1.35E-04
1.35E+06,3.00E+02,0.18816159,-9.43E-02,76.45268625,2.92E+00,6.56E-03,-1.15E-02,1.78E-04
1.34E+06,3.00E+02,0.193520456,-4.40E+00,79.99208361,3.57E+00,6.65E-03,-1.15E-02,1.81E-04
1.34E+06,3.00E+02,0.193638834,-4.46E+00,79.95771641,3.60E+00,6.65E-03,-1.15E-02,1.81E-04
1.34E+06,2.99E+02,0.193197617,-5.37E+00,81.27670526,2.78E+00,6.64E-03,-1.15E-02,1.55E-04
1.35E+06,2.99E+02,0.190967986,-3.43E+00,80.7763092,3.07E+00,6.62E-03,-1.15E-02,1.70E-04
1.35E+06,2.99E+02,0.190877819,-3.34E+00,80.73757172,3.08E+00,6.62E-03,-1.15E-02,1.70E-04
1.34E+06,2.99E+02,0.194277782,-5.46E+00,80.32895716,3.12E+00,6.66E-03,-1.15E-02,1.67E-04
1.34E+06,2.99E+02,0.19422626,-5.45E+00,80.36675856,3.11E+00,6.65E-03,-1.15E-02,1.66E-04
1.34E+06,2.99E+02,0.194254472,-5.42E+00,80.29365389,3.14E+00,6.65E-03,-1.15E-02,1.68E-04
1.34E+06,2.99E+02,0.193110747,-5.39E+00,81.35188406,2.78E+00,6.65E-03,-1.15E-02,1.54E-04
1.34E+06,2.99E+02,0.192515236,-5.96E+00,82.1785079,2.59E+00,6.67E-03,-1.15E-02,1.39E-04
1.34E+06,2.99E+02,0.193197617,-5.37E+00,81.27670526,2.78E+00,6.64E-03,-1.15E-02,1.55E-04
1.34E+06,3.00E+02,0.194446302,-5.84E+00,79.98590486,3.13E+00,6.67E-03,-1.15E-02,1.65E-04
1.34E+06,2.99E+02,0.194335415,-5.83E+00,80.09086701,3.11E+00,6.67E-03,-1.15E-02,1.64E-04
1.34E+06,2.99E+02,0.194250277,-5.48E+00,80.33697521,3.13E+00,6.66E-03,-1.15E-02,1.67E-04
1.34E+06,3.00E+02,0.194442625,-5.82E+00,79.83635099,3.18E+00,6.67E-03,-1.15E-02,1.67E-04
1.34E+06,3.00E+02,0.193638834,-4.46E+00,79.95771641,3.60E+00,6.65E-03,-1.15E-02,1.81E-04
1.33E+06,3.00E+02,0.19452845,-5.00E+00,77.48383489,3.84E+00,6.68E-03,-1.15E-02,1.92E-04
1.33E+06,3.00E+02,0.194536322,-4.96E+00,77.59006744,3.81E+00,6.68E-03,-1.15E-02,1.91E-04
1.35E+06,2.99E+02,0.188988585,-5.04E+00,82.10693046,2.05E+00,6.62E-03,-1.15E-02,1.38E-04
1.35E+06,2.99E+02,0.189098482,-4.97E+00,82.06328256,2.10E+00,6.62E-03,-1.15E-02,1.40E-04
1.35E+06,2.99E+02,0.1902975,-5.44E+00,82.16606801,2.46E+00,6.64E-03,-1.15E-02,1.38E-04
1.35E+06,2.99E+02,0.190255592,-5.42E+00,82.1437459,2.43E+00,6.64E-03,-1.15E-02,1.38E-04
1.35E+06,2.99E+02,0.190455656,-5.43E+00,82.13883547,2.47E+00,6.64E-03,-1.15E-02,1.39E-04
1.35E+06,2.99E+02,0.190094996,-5.46E+00,82.25111691,2.46E+00,6.64E-03,-1.15E-02,1.37E-04
1.35E+06,2.99E+02,0.186993604,-6.04E+00,83.82584166,2.39E+00,6.65E-03,-1.15E-02,1.21E-04
1.35E+06,2.99E+02,0.180881466,-6.46E+00,85.49285787,2.14E+00,6.63E-03,-1.15E-02,1.06E-04
1.35E+06,2.99E+02,0.188571761,-5.11E+00,82.25726488,2.06E+00,6.62E-03,-1.15E-02,1.36E-04
1.35E+06,2.99E+02,0.187249833,-6.01E+00,83.78287826,2.40E+00,6.65E-03,-1.15E-02,1.22E-04
1.35E+06,2.99E+02,0.187523622,-6.01E+00,83.74577561,2.41E+00,6.65E-03,-1.15E-02,1.23E-04
1.35E+06,2.99E+02,0.187249833,-6.01E+00,83.78287826,2.40E+00,6.65E-03,-1.15E-02,1.22E-04
1.35E+06,2.99E+02,0.188002353,-4.39E+00,81.98750696,1.46E+00,6.60E-03,-1.15E-02,1.37E-04
1.35E+06,2.99E+02,0.187939095,-2.45E+00,80.96239995,2.06E+00,6.59E-03,-1.15E-02,1.51E-04
1.35E+06,2.99E+02,0.188018829,-4.43E+00,82.00318866,1.50E+00,6.61E-03,-1.15E-02,1.37E-04
1.35E+06,2.99E+02,0.184837147,-4.72E+00,82.88511912,1.36E+00,6.60E-03,-1.15E-02,1.20E-04
1.35E+06,2.99E+02,0.18637327,-2.49E+00,80.32149635,1.57E+00,6.57E-03,-1.15E-02,1.33E-04
