pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
1.34E+06,3.00E+02,0.189470535,2.80E+00,73.2802654,-5.24E-02,7.29E-03,-1.15E-02,-9.54E-05
1.34E+06,3.00E+02,0.189455632,2.79E+00,73.33116026,-1.07E-01,7.29E-03,-1.15E-02,-9.46E-05
1.33E+06,3.00E+02,0.190927531,2.72E+00,74.45047738,-1.17E+00,7.25E-03,-1.15E-02,-8.01E-05
1.33E+06,3.00E+02,0.191722355,3.27E+00,75.25000511,-9.61E-01,7.29E-03,-1.15E-02,-6.57E-05
1.33E+06,3.00E+02,0.191695912,3.25E+00,75.15425749,-9.23E-01,7.29E-03,-1.15E-02,-6.72E-05
1.33E+06,3.00E+02,0.191723783,3.27E+00,75.24886234,-9.96E-01,7.28E-03,-1.15E-02,-6.57E-05
1.33E+06,3.00E+02,0.192203611,3.36E+00,75.36018333,-1.61E+00,7.26E-03,-1.15E-02,-6.54E-05
1.33E+06,3.00E+02,0.192160837,3.33E+00,75.31647334,-1.59E+00,7.26E-03,-1.15E-02,-6.61E-05
1.33E+06,3.00E+02,0.192167856,3.45E+00,76.63666662,-9.99E-01,7.28E-03,-1.15E-02,-3.67E-05
1.33E+06,3.00E+02,0.192750171,3.97E+00,75.95889398,-1.92E+00,7.25E-03,-1.15E-02,-5.03E-05
1.33E+06,3.00E+02,0.192156206,3.43E+00,76.67888796,-9.50E-01,7.28E-03,-1.15E-02,-3.59E-05
1.33E+06,3.00E+02,0.19174202,3.27E+00,75.31502934,-9.63E-01,7.29E-03,-1.15E-02,-6.41E-05
1.33E+06,3.00E+02,0.191722355,3.27E+00,75.25000511,-9.61E-01,7.29E-03,-1.15E-02,-6.57E-05
1.33E+06,3.00E+02,0.192233498,3.38E+00,75.38412899,-1.63E+00,7.26E-03,-1.15E-02,-6.46E-05
1.33E+06,3.00E+02,0.192770955,3.94E+00,75.86067581,-1.89E+00,7.25E-03,-1.15E-02,-5.11E-05
1.33E+06,3.00E+02,0.193112849,3.30E+00,74.08328036,-1.35E+00,7.22E-03,-1.15E-02,-6.47E-05
1.33E+06,3.00E+02,0.192750171,3.97E+00,75.95889398,-1.92E+00,7.25E-03,-1.15E-02,-5.03E-05
1.33E+06,3.00E+02,0.191020977,2.75E+00,74.41991486,-1.18E+00,7.25E-03,-1.15E-02,-7.93E-05
1.33E+06,3.00E+02,0.192388448,4.49E+00,77.84700296,-1.45E+00,7.26E-03,-1.15E-02,-1.16E-05
1.33E+06,3.00E+02,0.192150099,3.48E+00,76.73019084,-9.77E-01,7.28E-03,-1.15E-02,-3.47E-05
1.33E+06,3.00E+02,0.193084781,4.88E+00,76.70230569,-2.17E+00,7.25E-03,-1.15E-02,-2.93E-05
1.33E+06,3.00E+02,0.193045692,4.86E+00,76.76343482,-2.14E+00,7.25E-03,-1.15E-02,-2.84E-05
1.33E+06,3.00E+02,0.193063448,4.84E+00,76.6699106,-2.16E+00,7.25E-03,-1.15E-02,-3.04E-05
1.33E+06,3.00E+02,0.194051858,5.48E+00,76.22619618,-2.42E+00,7.23E-03,-1.15E-02,-2.60E-05
1.33E+06,3.00E+02,0.192195858,6.24E+00,79.78799231,-1.80E+00,7.24E-03,-1.15E-02,1.06E-05
1.33E+06,3.00E+02,0.192080555,6.29E+00,79.98940701,-1.76E+00,7.24E-03,-1.15E-02,1.27E-05
1.33E+06,3.00E+02,0.192095246,6.19E+00,79.88408042,-1.75E+00,7.24E-03,-1.15E-02,1.14E-05
1.33E+06,3.00E+02,0.193146304,4.91E+00,76.66734671,-2.18E+00,7.25E-03,-1.15E-02,-2.91E-05
1.33E+06,3.00E+02,0.193989786,5.38E+00,76.13054191,-2.37E+00,7.23E-03,-1.15E-02,-2.81E-05
1.34E+06,3.00E+02,0.197590708,9.14E-01,51.99206661,1.51E+00,6.52E-03,-1.15E-02,1.55E-04
1.34E+06,3.00E+02,0.196047584,9.16E-01,59.20452464,1.64E+00,6.54E-03,-1.15E-02,1.45E-04
1.34E+06,3.00E+02,0.195956612,9.21E-01,59.60121197,1.65E+00,6.55E-03,-1.15E-02,1.44E-04
1.34E+06,3.00E+02,0.998107256,9.54E-01,51.5856308,1.82E+00,6.53E-03,-1.15E-02,1.22E-04
1.34E+06,3.00E+02,0.998174817,9.56E-01,51.25377157,1.82E+00,6.53E-03,-1.15E-02,1.22E-04
1.34E+06,3.00E+02,0.999341573,1.02E+00,45.34188082,1.88E+00,6.52E-03,-1.15E-02,1.16E-04
1.34E+06,3.00E+02,0.197979263,9.47E-01,52.03214929,1.82E+00,6.53E-03,-1.15E-02,1.23E-04
1.34E+06,3.00E+02,0.999236992,1.01E+00,45.72357121,1.86E+00,6.52E-03,-1.15E-02,1.18E-04
1.34E+06,3.00E+02,0.998128064,8.95E-01,53.29072056,2.23E+00,6.53E-03,-1.15E-02,1.05E-04
1.34E+06,3.00E+02,0.998045734,9.12E-01,53.79269156,2.19E+00,6.54E-03,-1.15E-02,1.06E-04
1.34E+06,3.00E+02,0.999438443,6.51E-01,44.39835133,2.87E+00,6.51E-03,-1.15E-02,7.82E-05
1.34E+06,3.00E+02,0.998113369,9.57E-01,51.68427218,1.85E+00,6.53E-03,-1.15E-02,1.21E-04
1.34E+06,3.00E+02,0.999362455,1.01E+00,45.27041042,1.94E+00,6.51E-03,-1.15E-02,1.14E-04
1.34E+06,3.00E+02,0.195701325,9.40E-01,60.30046693,1.69E+00,6.55E-03,-1.15E-02,1.44E-04
1.34E+06,3.00E+02,0.197656341,9.23E-01,54.83982363,2.19E+00,6.54E-03,-1.15E-02,1.08E-04
1.34E+06,3.00E+02,0.190618447,1.18E+00,73.53238468,2.09E+00,6.57E-03,-1.15E-02,1.34E-04
1.34E+06,3.00E+02,0.998045734,9.12E-01,53.79269156,2.19E+00,6.54E-03,-1.15E-02,1.06E-04
1.34E+06,3.00E+02,0.183443289,1.29E+00,85.46444586,2.44E+00,6.59E-03,-1.15E-02,1.53E-04
1.34E+06,3.00E+02,0.186769218,8.01E-01,84.80703728,3.03E+00,6.62E-03,-1.15E-02,1.70E-04
1.34E+06,3.00E+02,0.18325577,1.31E+00,85.53035398,2.41E+00,6.59E-03,-1.15E-02,1.52E-04
1.34E+06,3.00E+02,0.186036919,1.06E+00,81.25063766,2.17E+00,6.59E-03,-1.15E-02,1.99E-04
1.34E+06,3.00E+02,0.186096253,1.05E+00,81.39012392,2.23E+00,6.59E-03,-1.15E-02,1.97E-04
1.34E+06,3.00E+02,0.185458184,1.24E+00,81.25203564,1.99E+00,6.58E-03,-1.15E-02,1.77E-04
1.34E+06,3.00E+02,0.186005459,1.07E+00,81.26648192,2.17E+00,6.59E-03,-1.15E-02,1.98E-04
1.34E+06,3.00E+02,0.183352496,1.31E+00,85.34080386,2.38E+00,6.59E-03,-1.15E-02,1.53E-04
1.34E+06,3.00E+02,0.19178182,1.10E+00,68.84377194,1.73E+00,6.56E-03,-1.15E-02,1.80E-04
1.34E+06,3.00E+02,0.191854434,1.09E+00,68.70230704,1.72E+00,6.56E-03,-1.15E-02,1.83E-04
1.34E+06,3.00E+02,0.192904519,9.27E-01,66.64508173,1.80E+00,6.55E-03,-1.15E-02,2.27E-04
1.34E+06,3.00E+02,0.186036919,1.06E+00,81.25063766,2.17E+00,6.59E-03,-1.15E-02,1.99E-04
1.34E+06,3.00E+02,0.192560026,9.39E-01,67.38405898,1.83E+00,6.56E-03,-1.15E-02,2.26E-04
1.34E+06,3.00E+02,0.191478482,1.11E+00,69.45712854,1.75E+00,6.56E-03,-1.15E-02,1.80E-04
1.34E+06,3.00E+02,0.190263471,1.18E+00,74.11937374,2.11E+00,6.57E-03,-1.15E-02,1.35E-04
1.34E+06,3.00E+02,0.191736732,1.12E+00,69.0596896,1.76E+00,6.56E-03,-1.15E-02,1.78E-04
1.34E+06,3.00E+02,0.192577899,1.85E-01,81.51191369,3.24E+00,6.65E-03,-1.15E-02,1.81E-04
1.34E+06,3.00E+02,0.193831114,8.00E-02,78.4307516,3.48E+00,6.64E-03,-1.15E-02,1.55E-04
1.34E+06,3.00E+02,0.194965658,6.57E-02,78.57354815,3.34E+00,6.66E-03,-1.15E-02,1.67E-04
